Champion,Meta,Andy,Jonathan,Dustin,Mason,Hwang,Tailer
Aatrox,2,4,4,4,4,4,4
Ahri,2,4,4,4,4,4,4
Akali,1,3,4,2,4,4,4
Alistar,3,4,4,4,4,2,4
Amumu,4,4,4,4,4,4,4
Anivia,4,4,4,4,4,4,4
Annie,3,4,4,4,4,4,4
Ashe,2,4,4,4,4,4,3
Aurelion Sol,4,4,4,4,4,4,4
Azir,3,4,4,4,4,4,4
Bard,4,4,4,4,4,4,4
Blitzcrank,2,4,4,4,4,4,4
Brand,3,4,4,4,4,4,4
Braum,1,4,4,4,4,1,4
Caitlyn,1,4,4,4,2,4,1
Camille,2,4,4,4,4,4,4
Cassiopeia,2,4,4,4,4,4,1
Chogath,3,4,4,3,4,4,4
Corki,3,4,4,4,4,4,4
Darius,4,4,4,4,4,4,4
Diana,4,4,4,4,4,4,4
DrMundo,3,4,4,4,4,4,4
Draven,3,4,4,4,4,4,4
Ekko,2,4,1,3,4,4,4
Elise,2,4,1,4,4,4,4
Evelynn,4,4,4,4,4,4,4
Ezreal,1,4,4,4,1,4,1
Fiddlesticks,4,4,4,4,4,4,4
Fiora,1,4,4,4,4,4,4
Fizz,3,4,4,4,4,4,4
Galio,1,4,4,2,4,4,4
Gangplank,1,1,4,4,4,4,4
Garen,4,4,4,4,4,4,4
Gnar,4,4,4,4,4,4,4
Gragas,1,4,2,4,4,4,4
Graves,3,4,3,4,4,4,4
Hecarim,3,4,3,4,4,4,4
Heimerdinger,3,4,4,4,4,4,4
Illaoi,4,4,4,4,4,4,4
Irelia,2,4,4,4,4,4,4
Ivern,4,4,4,4,4,4,4
Janna,4,4,4,4,4,4,4
Jarvan IV,1,4,1,4,4,4,4
Jax,3,4,4,4,4,4,4
Jayce,2,4,4,4,4,4,4
Jhin,3,4,4,4,4,4,2
Jinx,3,4,4,4,4,4,2
Kaisa,1,4,4,4,1,4,1
Kalista,4,4,4,4,4,4,4
Karma,2,4,4,4,4,4,4
Karthus,3,4,4,4,4,4,4
Kassadin,3,4,4,4,4,4,4
Katarina,4,4,4,4,4,4,4
Kayle,1,4,4,4,4,4,4
Kayn,4,4,4,4,4,4,4
Kennen,1,3,4,4,4,4,4
Khazix,2,4,2,4,4,4,4
Kindred,2,4,2,4,4,4,4
Kled,1,3,4,4,4,4,4
Kogmaw,4,4,4,4,4,4,3
LeBlanc,3,4,4,4,4,4,4
Leesin,2,4,4,4,4,4,4
Leona,3,4,4,4,4,2,4
Lissandra,3,4,4,3,4,4,4
Lucian,2,1,4,4,2,4,1
Lulu,3,4,4,4,4,4,4
Lux,3,4,4,4,4,3,4
Malphite,2,4,4,4,4,4,4
Malzahar,2,4,4,4,4,4,4
Maokai,4,4,4,4,4,4,4
Master Yi,4,4,4,4,4,4,4
Miss Fortune,4,4,4,4,4,4,4
Mordekaiser,2,4,4,4,4,4,4
Morgana,2,4,4,4,4,4,4
Nami,2,4,4,4,4,2,4
Nasus,4,4,4,4,4,4,4
Nautilus,1,4,4,4,4,2,4
Neeko,2,3,4,3,4,4,4
Nidalee,3,4,4,4,4,4,4
Nocturne,3,4,4,4,4,4,4
Nunu,2,4,4,4,4,4,4
Olaf,1,4,1,4,4,4,4
Orianna,2,4,4,3,4,4,4
Ornn,3,4,4,4,4,4,4
Pantheon,1,3,4,4,4,4,4
Poppy,2,4,4,4,4,4,4
Pyke,2,4,4,4,4,4,4
Qiyana,1,4,4,2,4,4,4
Quinn,4,4,4,4,4,4,4
Rakan,1,4,4,4,4,1,4
Rammus,3,4,4,4,4,4,4
Reksai,2,4,2,4,4,4,4
Renekton,1,2,4,4,4,4,4
Rengar,2,4,4,4,4,4,4
Riven,3,4,4,4,4,4,4
Rumble,2,4,4,3,4,4,4
Ryze,3,1,4,2,4,4,4
Sejuani,2,4,3,4,4,4,4
Shaco,4,4,4,4,4,4,4
Shen,3,4,4,4,4,4,4
Shyvana,4,4,4,4,4,4,4
Singed,4,4,4,4,4,4,4
Sion,3,4,4,4,4,4,4
Sivir,2,4,4,4,1,4,2
Skarner,3,4,4,4,4,4,4
Sona,2,4,4,4,4,4,4
Soraka,3,4,4,4,4,4,4
Swain,2,4,4,3,4,3,3
Sylas,2,4,3,4,4,4,4
Syndra,1,4,4,2,1,4,3
Tahm Kench,3,4,4,4,4,3,4
Taliyah,3,4,4,4,4,4,4
Talon,3,4,4,1,4,4,4
Taric,2,4,4,4,4,4,4
Teemo,4,4,4,4,4,4,4
Thresh,2,4,4,4,4,1,4
Tristana,2,1,4,4,2,4,4
Trundle,3,4,4,4,4,4,4
Tryndamere,3,4,4,4,4,4,4
Twisted Fate,2,4,4,4,4,4,4
Twitch,4,4,4,4,4,4,3
Udyr,4,4,4,4,4,4,4
Urgot,3,2,4,4,4,4,4
Varus,2,4,4,4,3,4,2
Vayne,3,2,4,4,3,4,4
Veigar,2,4,4,4,4,4,4
Velkoz,3,4,4,4,4,4,4
Vi,3,4,4,4,4,4,4
Viktor,4,4,4,4,4,4,4
Vladimir,2,2,4,4,4,4,4
Volibear,4,4,4,4,4,4,4
Warwick,4,4,4,4,4,4,4
Wukong,4,4,4,4,4,4,4
Xayah,1,4,4,4,1,4,2
Xerath,4,4,4,3,4,4,4
Xin Zhao,2,4,2,4,4,4,4
Yasuo,2,4,4,4,4,4,4
Yorick,4,4,4,4,4,4,4
Yuumi,2,4,4,4,4,3,4
